"","sample_name","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat","NCBI_host_subject_ID"
"21","P19N457","281128760","2019","Nestling","Unknown","24-Jun-19","TRES","Ithaca","Unit_2","57",NA,"15",16.5,NA,NA,4,"Died","Post injection bleed time on the binder is wrong","Unit_2_57_2019","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con","Day_15_nestling_281128760_15"
"22","L19N017b",NA,"2019","Nestling",NA,"17-Jun-19","TRES","Ithaca","Turkey_Hill","97",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_97_2019","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control","Day_6_nestling_Turkey_Hill_97_2019_L19N017b"
"23","P19N075","278172157","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","6","1","SY",23,28.7,116,NA,"","","Unit_2_6_2019","Color_Stress","Pred_Con",NA,NA,"Predation",NA,"Color_Stress_Pred_Con","Adult_278172157_31-May-19"
"24","P19N154","278172166","2019","Adult","M","08-Jun-19","TRES","Ithaca","Unit_2","20","1","AHY",17,29.3,123,NA,"","","Unit_2_20_2019","Color_Stress","Cont_Con",47,4,"Fledged",11.75,"Color_Stress_Cont_Con","Adult_278172166_08-Jun-19"
"25","P19N282","278172268","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_2","120",NA,"15",17,NA,NA,4,"Fledged","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con","Day_15_nestling_278172268_15"
"26","P19N359","278172450","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_4","78",NA,"12",23,25.5,47,5,"Fledged","","Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_12_nestling_278172450_12"
"27","P19N468","281128682","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_1","86",NA,"15",16.5,NA,NA,3,"Fledged","","Unit_1_86_2019","Color_Stress","Cont_Con",45,4,"Fledged",11.25,"Color_Stress_Cont_Con","Day_15_nestling_281128682_15"
"28","P19N089","281128704","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_1","58","1","SY",23.25,28,118,NA,"","","Unit_1_58_2019","Color_Stress","Pred_Con",48,4,"Fledged",12,"Color_Stress_Pred_Con","Adult_281128704_02-Jun-19"
"29","P19N163","281128601","2019","Adult","F","09-Jun-19","TRES","Ithaca","Unit_2","99","2","SY",20,NA,NA,NA,"","","Unit_2_99_2019","Color_Stress","Cont_Con",36,4,"Fledged",9,"Color_Stress_Cont_Con","Adult_281128601_09-Jun-19"
"30","P19N289","278172284","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_1","47",NA,"12",14,24.3,45,4,"Died","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con","Day_12_nestling_278172284_12"
"31","P19N374","278172460","2019","Nestling","Unknown","19-Jun-19","TRES","Ithaca","Unit_4","87",NA,"12",23.5,25.2,49,5,"Fledged","","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light","Day_12_nestling_278172460_12"
"32","P19N411","281128507","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_2","3",NA,"15",19.5,NA,NA,5,"Fledged","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul","Day_15_nestling_281128507_15"
"33","P19N475","281128531","2019","Nestling","Unknown","25-Jun-19","TRES","Ithaca","Unit_2","85",NA,"15",19.25,NA,NA,5,"Fledged","","Unit_2_85_2019","Color_Stress","Cont_Dul",50.5,5,"Fledged",10.1,"Color_Stress_Cont_Dul","Day_15_nestling_281128531_15"
"34","P19N095","278172159","2019","Adult","F","02-Jun-19","TRES","Ithaca","Unit_2","25","1","ASY",19.5,28.9,114,NA,"","","Unit_2_25_2019","Color_Stress","Cont_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Dul","Adult_278172159_02-Jun-19"
"35","P19N180","272106628","2019","Adult","M","10-Jun-19","TRES","Ithaca","Unit_1","47","1","AHY",21.5,29,120,NA,"","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con","Adult_272106628_10-Jun-19"
"36","P19N222","278171886","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",23.5,26.4,58,6,"Fledged","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul","Day_12_nestling_278171886_12"
"37","P19N393","278172326","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Turkey_Hill","86",NA,"12",20.5,25,51.5,5,"Predated","","Turkey_Hill_86_2019","Light","Light_Control",61.21,5,"Predation",12.242,"Light_Light_Control","Day_12_nestling_278172326_12"
"38","P19N419","281128764","2019","Nestling","Unknown","21-Jun-19","TRES","Ithaca","Unit_2","57",NA,"12",15,24.1,36,5,"Died","","Unit_2_57_2019","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con","Day_12_nestling_281128764_12"
"39","P19N486","278172295","2019","Nestling","Unknown","26-Jun-19","TRES","Ithaca","Unit_2","14",NA,"12",23,25.7,53,3,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_14_2019","Color_Stress","Pred_Dul",40,3,"Fledged",13.3333333333333,"Color_Stress_Pred_Dul","Day_12_nestling_278172295_12"
"40","P19N106","272107698","2019","Adult","F","03-Jun-19","TRES","Ithaca","Unit_2","122","2","ASY",19.25,NA,NA,NA,"","","Unit_2_122_2019","Color_Stress","Pred_Con",64,5,"Died",12.8,"Color_Stress_Pred_Con","Adult_272107698_03-Jun-19"
"41","P19N196","278172169","2019","Adult","M","11-Jun-19","TRES","Ithaca","Unit_2","32","1","AHY",21,29.1,122,NA,"","Telomere sample left in the fridge overnight (transferred to freezer at noon next day)","Unit_2_32_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Adult_278172169_11-Jun-19"
"42","P19N336","281128808","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Unit_2","75",NA,"12",13.5,23.2,31,6,"Fledged","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul","Day_12_nestling_281128808_12"
"43","P19N401","278172472","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_4","71",NA,"12",23,26.6,58,6,"Fledged","","Unit_4_71_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_12_nestling_278172472_12"
"44","P19N500","281128542","2019","Nestling","Unknown","01-Jul-19","TRES","Ithaca","Unit_2","37",NA,"12",25.75,26.5,55,4,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_37_2019","","",50,4,"Fledged",12.5,"Control","Day_12_nestling_281128542_12"
"45","P19NB6",NA,"neg_control","neg_control",NA,"","","","","neg_control",NA,NA,NA,NA,NA,NA,NA,NA,"_neg_control_neg_control",NA,NA,NA,NA,NA,NA,"Control","Blank_P19NB6"
"46","P19N114","272106817","2019","Adult","F","04-Jun-19","TRES","Ithaca","Unit_2","22","2","ASY",20,NA,NA,NA,"","","Unit_2_22_2019","Color_Stress","Cont_Con",NA,NA,"Died",NA,"Color_Stress_Cont_Con","Adult_272106817_04-Jun-19"
"47","P19N209","88004754","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_2","29","3","ASY",19,28.6,118,NA,"","Day 6 mass: 36g/3N","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul","Adult_88004754_12-Jun-19"
"48","P19N238","281128723","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","103",NA,"15",16.5,NA,NA,6,"Fledged","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con","Day_15_nestling_281128723_15"
"49","P19N347","281128749","2019","Nestling","Unknown","18-Jun-19","TRES","Ithaca","Unit_2","29",NA,"12",22,24.9,45,3,"Fledged","","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul","Day_12_nestling_281128749_12"
"50","P19N437","278172485","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_4","95",NA,"12",20,24.3,49,5,"Fledged","","Unit_4_95_2019","Light","Light",54,5,"Fledged",10.8,"Light_Light","Day_12_nestling_278172485_12"
"51","P19N520","281128790","2019","Nestling","Unknown","12-Jul-19","TRES","Ithaca","Unit_1","19",NA,"15",17,NA,NA,3,"Unknown","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_1_19_2019","","",33,3,"",11,"Control","Day_15_nestling_281128790_15"
"52","L19N005a",NA,"2019","Nestling",NA,"10-Jun-19","TRES","Ithaca","Unit_4","94",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_6_nestling_Unit_4_94_2019_L19N005a"
"53","P19N010","278172094","2019","Adult","F","23-May-19","TRES","Ithaca","Unit_1","305","1","SY",20.75,29.2,115,NA,"","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_278172094_23-May-19"
"54","P19N023","263114113","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_4","94","1","ASY",24,28.1,118,NA,"","Old PIT tag removed to put on life tag. Microbiome swab not inserted fully.","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Adult_263114113_26-May-19"
"55","P19N026","272106655","2019","Adult","F","27-May-19","TRES","Ithaca","Turkey_Hill","3","1","ASY",22,31.5,123,NA,"","egg photo","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light","Adult_272106655_27-May-19"
"56","P19N224","278172155","2019","Adult","F","13-Jun-19","TRES","Ithaca","Unit_2","15","3","SY",18.25,28,116,NA,"","","Unit_2_15_2019","Color_Stress","Pred_Con",52,4,"Died",13,"Color_Stress_Pred_Con","Adult_278172155_13-Jun-19"
"57","P19N372","281128802","2019","Nestling","Unknown","19-Jun-19","TRES","Ithaca","Unit_1","81",NA,"15",16.75,NA,NA,5,"Fledged","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con","Day_15_nestling_281128802_15"
"58","L19N018f",NA,"2019","Nestling",NA,"19-Jun-19","TRES","Ithaca","Unit_4","61",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_61_2019","Light","Light_Control",105,6,"Fledged",17.5,"Light_Light_Control","Day_6_nestling_Unit_4_61_2019_L19N018f"
"59","P19N080","278172404","2019","Adult","F","31-May-19","TRES","Ithaca","Turkey_Hill","51","1","SY",22,29.1,114,NA,"","","Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control","Adult_278172404_31-May-19"
"60","P19N126","272107161","2019","Adult","F","06-Jun-19","TRES","Ithaca","Unit_2","124","1","ASY",19,28.3,117,NA,"","","Unit_2_124_2019","Color_Stress","Cont_Con",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Con","Adult_272107161_06-Jun-19"
"61","P19N306","278172160","2019","Adult","F","17-Jun-19","TRES","Ithaca","Unit_2","64","3","ASY",18.25,28.6,115,NA,"","","Unit_2_64_2019","Color_Stress","Pred_Dul",35,6,"Died",5.83333333333333,"Color_Stress_Pred_Dul","Adult_278172160_17-Jun-19"
"62","P19N386","281128753","2019","Nestling","Unknown","20-Jun-19","TRES","Ithaca","Unit_2","62",NA,"12",21,25.7,54,4,"Fledged","","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con","Day_12_nestling_281128753_12"
"63","P19N461","281128770","2019","Nestling","Unknown","24-Jun-19","TRES","Ithaca","Unit_2","34",NA,"12",20.25,25.3,47,4,"Fledged","Data has not been proofed, as it was not on the proofing sheets.","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul","Day_12_nestling_281128770_12"
"64","L19N006e",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","3",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light","Day_6_nestling_Turkey_Hill_3_2019_L19N006e"
"65","P19N029","88004570","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_2","121","2","ASY",23,NA,NA,NA,"","","Unit_2_121_2019","Color_Stress","Cont_Dul",8,1,"Fledged",8,"Color_Stress_Cont_Dul","Adult_88004570_27-May-19"
"66","P19N035","281128404","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","48","1","SY",23,28.4,120,NA,"","","Unit_2_48_2019","Color_Stress","Cont_Con",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Con","Adult_281128404_28-May-19"
"67","P19N166","278172413","2019","Adult","F","09-Jun-19","TRES","Ithaca","Unit_4","15","1","SY",22.5,27.5,115,NA,"","","Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Adult_278172413_09-Jun-19"
"68","P19N314","278172287","2019","Adult","M","17-Jun-19","TRES","Ithaca","Unit_2","85","1","AHY",18,28.9,121,NA,"","","Unit_2_85_2019","Color_Stress","Cont_Dul",50.5,5,"Fledged",10.1,"Color_Stress_Cont_Dul","Adult_278172287_17-Jun-19"
"69","P19N427","281128679","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_1","58",NA,"12",22.5,26.3,54,3,"Fledged","","Unit_1_58_2019","Color_Stress","Pred_Con",48,4,"Fledged",12,"Color_Stress_Pred_Con","Day_12_nestling_281128679_12"
"70","L19N008d",NA,"2019","Nestling",NA,"11-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_6_nestling_Turkey_Hill_121_2019_L19N008d"
"71","P19N036","278171869","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","8","1","SY",22,29.2,109,NA,"","","Unit_2_8_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul","Adult_278171869_28-May-19"
"72","P19N258","278172405","2019","Adult","F","14-Jun-19","TRES","Ithaca","Turkey_Hill","134","3","SY",18.5,NA,NA,NA,"","","Turkey_Hill_134_2019","Light","Light",25.87,3,"Died",8.62333333333333,"Light_Light","Adult_278172405_14-Jun-19"
"73","P19N321","281128653","2019","Adult","M","17-Jun-19","TRES","Ithaca","Unit_1","58","1","AHY",17.5,28.8,120,NA,"","","Unit_1_58_2019","Color_Stress","Pred_Con",48,4,"Fledged",12,"Color_Stress_Pred_Con","Adult_281128653_17-Jun-19"
"74","P19N440","281128442","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","54",NA,"12",13,21,NA,6,"Fledged","","Unit_2_54_2019","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con","Day_12_nestling_281128442_12"
"75","P19N496","278172333","2019","Nestling","Unknown","30-Jun-19","TRES","Ithaca","Unit_4","15",NA,"12",17,25.2,49,5,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_4_15_2019","Light","Light_Control",59.66,5,"Fledged",11.932,"Light_Light_Control","Day_12_nestling_278172333_12"
"76","L19N010b",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","78",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control","Day_6_nestling_Unit_4_78_2019_L19N010b"
"77","P19N046","278172153","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","127","1","SY",20,28.1,113,NA,"","","Unit_2_127_2019","Color_Stress","Pred_Con",60,5,"Died",12,"Color_Stress_Pred_Con","Adult_278172153_29-May-19"
"78","P19N129","281128702","2019","Adult","F","06-Jun-19","TRES","Ithaca","Unit_1","65","2","SY",19.5,NA,NA,NA,"","","Unit_1_65_2019","Color_Stress","Pred_Con",NA,NA,"Died",NA,"Color_Stress_Pred_Con","Adult_281128702_06-Jun-19"
"79","P19N187","278172168","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",19.25,24.9,50,5,"Fledged","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul","Day_12_nestling_278172168_12"
"80","P19N295","278172315","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Unit_4","94",NA,"12",22,26.5,55,5,"Fledged","","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control","Day_12_nestling_278172315_12"
"81","P19N373","240150159","2019","Adult","M","19-Jun-19","TRES","Ithaca","Unit_1","308","1","AHY",19.25,29,121,NA,"","","Unit_1_308_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_240150159_19-Jun-19"
"82","P19N504","281128778","2019","Nestling","Unknown","05-Jul-19","TRES","Ithaca","Unit_2","50",NA,"12",22,25.5,59,5,"Died","Fecal sample should be +100 and tube is mislabeled as -100. Dex expired March 2019","Unit_2_50_2019","","",65,5,"Fledged",13,"Control","Day_12_nestling_281128778_12"
"83","L19N011f",NA,"2019","Nestling",NA,"12-Jun-19","TRES","Ithaca","Unit_4","80",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light","Day_6_nestling_Unit_4_80_2019_L19N011f"
"84","P19N054","212110281","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","315","1","ASY",22.5,28.9,115,NA,"","","Unit_1_315_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_212110281_29-May-19"
"85","P19N140","278172147","2019","Adult","F","07-Jun-19","TRES","Ithaca","Unit_2","101","3","ASY",16,28.7,115,NA,"","Mass incorrect due to miscalibrated scale.","Unit_2_101_2019","Color_Stress","Pred_Dul",52,5,"Fledged",10.4,"Color_Stress_Pred_Dul","Adult_278172147_07-Jun-19"
"86","P19N302","278172430","2019","Nestling","Unknown","16-Jun-19","TRES","Ithaca","Turkey_Hill","3",NA,"12",16.5,24.1,43.5,5,"Fledged","","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light","Day_12_nestling_278172430_12"
"87","P19N424","281128523","2019","Adult","M","22-Jun-19","TRES","Ithaca","Unit_1","319","1","AHY",15.75,29.2,120,NA,"","","Unit_1_319_2019","","Control",NA,NA,"Fledged",NA,"Control","Adult_281128523_22-Jun-19"
"88","P19N447","281128533","2019","Nestling","Unknown","22-Jun-19","TRES","Ithaca","Unit_2","99",NA,"12",14,25.1,37,4,"Died","Stressed glucose too high for glucose meter to read (It read ""High"" on meter)","Unit_2_99_2019","Color_Stress","Cont_Con",36,4,"Fledged",9,"Color_Stress_Cont_Con","Day_12_nestling_281128533_12"
"89","P19N512","281128774","2019","Nestling","Unknown","07-Jul-19","TRES","Ithaca","Unit_2","119",NA,"15",18,NA,NA,4,"Fledged","Fecal sample should be +100 and tube is mislabeled as -100.","Unit_2_119_2019","","",57,4,"Fledged",14.25,"Control","Day_15_nestling_281128774_15"
"90","L19N015a",NA,"2019","Nestling",NA,"15-Jun-19","TRES","Ithaca","Unit_4","93",NA,"6",NA,NA,NA,NA,NA,NA,"Unit_4_93_2019","Light","Light",55.3,4,"Fledged",13.825,"Light_Light","Day_6_nestling_Unit_4_93_2019_L19N015a"
"91","P19N132","281128710","2019","Nestling","Unknown","06-Jun-19","TRES","Ithaca","Unit_2","111",NA,"12",19,24.9,50,5,"Died","","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul","Day_12_nestling_281128710_12"
"92","P19N147","272107690","2019","Adult","M","08-Jun-19","TRES","Ithaca","Unit_2","116","1","AHY",22,29.6,129.5,NA,"","","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con","Adult_272107690_08-Jun-19"
"93","P19N271","278171885","2019","Nestling","Unknown","15-Jun-19","TRES","Ithaca","Unit_2","68",NA,"15",18.5,NA,NA,6,"Fledged","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul","Day_15_nestling_278171885_15"
"94","P19N332","278172442","2019","Nestling","Unknown","17-Jun-19","TRES","Ithaca","Turkey_Hill","121",NA,"12",22.5,25.2,51,6,"Fledged","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control","Day_12_nestling_278172442_12"
"95","P19N458","281128763","2019","Nestling","Unknown","24-Jun-19","TRES","Ithaca","Unit_2","57",NA,"15",14.5,NA,NA,4,"Died","Post injection bleed time on the binder is wrong","Unit_2_57_2019","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con","Day_15_nestling_281128763_15"
"96","L19N017c",NA,"2019","Nestling",NA,"17-Jun-19","TRES","Ithaca","Turkey_Hill","97",NA,"6",NA,NA,NA,NA,NA,NA,"Turkey_Hill_97_2019","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control","Day_6_nestling_Turkey_Hill_97_2019_L19N017c"
