family_lh,family_genus,life_history_genus,Notes,Sources
Stratiomyidae_aquatic,Stratiomyidae_Stratiomys,aquatic,,Jason Dombroskie
Syrphidae_aquatic,Syrphidae_Eristalis,aquatic,"""The larvae of Eristalis and Eristalinus species are aquatic.""","https://en.wikipedia.org/wiki/Eristalis, https://bugguide.net/node/view/7182, https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/eristalis, https://www.sciencedirect.com/topics/immunology-and-microbiology/eristalis"
Syrphidae_terrestrial,Syrphidae_Eupeodes,terrestrial,Larvae feed on aphids.,https://bugguide.net/node/view/11609
Syrphidae_terrestrial,Syrphidae_Melanostoma,terrestrial,"In Tribe Bacchini, in which larvae are predatory, often on aphids.",https://bugguide.net/node/view/12644
Syrphidae_aquatic,Syrphidae_Parhelophilus,aquatic,,"https://bugguide.net/node/view/33625, https://minnesotaflowerflies.com/eristalinae/parhelophilus/"
Syrphidae_terrestrial,Syrphidae_Rhingia,terrestrial,Larvae associated with animal dung.,https://en.wikipedia.org/wiki/Rhingia
Syrphidae_aquatic,Syrphidae_Sericomyia,aquatic,Larvae in ponds rich in decomposing vegetation; filter out microorganisms as their food.,"https://bugguide.net/node/view/8105, https://en.wikipedia.org/wiki/Sericomyia"
Syrphidae_terrestrial,Syrphidae_Sphaerophoria,terrestrial,"Larvae feed on aphids, decaying matter.","https://bugguide.net/node/view/7321, https://www.montana.edu/yellowstoneinsects/diptera/syrphidae/sphaerophoria_sp.html"
Syrphidae_terrestrial,Syrphidae_Toxomerus,terrestrial,"eggs laid on plants near aphids, pupation in soil cavities in spring, some larvae feed on pollen but most on aphid","https://bugguide.net/node/view/3277, https://en.wikipedia.org/wiki/Toxomerus"
Syrphidae_terrestrial,Syrphidae_Trichopsomyia,terrestrial,Larvae feed on aphids.,"https://bugguide.net/node/view/1813787, https://en.wikipedia.org/wiki/Trichopsomyia"
Tipulidae_aquatic,Tipulidae_Angarotipula,aquatic,,Jason Dombroskie
Tipulidae_terrestrial,Tipulidae_Ctenophora,terrestrial,dead wood,Jason Dombroskie
Tipulidae_terrestrial,Tipulidae_Dolichopeza,terrestrial,in mosses,Jason Dombroskie
Tipulidae_terrestrial,Tipulidae_Nephrotoma,terrestrial,,Jason Dombroskie
Ephydridae_terrestrial,Ephydridae_Scatella,terrestrial,Larvae live in algae on top of potting mix.,https://mrec.ifas.ufl.edu/lso/entomol/ncstate/fly5.htm
Pediciidae_aquatic,Pediciidae_Tricyphona,aquatic,"""larvae are aquatic, living in marshes and along edges of streams.""",https://bugguide.net/node/view/32979
Phoridae_terrestrial,Phoridae_Megaselia,terrestrial,"""larvae in moist decaying organic material, sanitation filter beds, sludge in sewer pipes and trash cans in public washrooms and homes, lab cultures of Drosophila, fresh or fermenting fruit, and sometimes in external wounds or in the digestive tract of animals, including humans.""",https://bugguide.net/node/view/40692
